delivery_id,factory_id,project_id,date,priority_level,demand,distance_km,weather_index,traffic_index,predicted_delay_probability,priority_score,recommended_action
D1088,F1,P55,2026-04-02,High,1,626.45,0.95,0.78,1.0,0.7440837116653686,Immediate action: allocate fastest route and backup resources
D390,F2,P183,2026-04-27,High,1,488.53,0.8,0.98,1.0,0.7439899886026855,Immediate action: allocate fastest route and backup resources
D9,F5,P132,2026-04-08,High,1,635.2,0.84,0.87,1.0,0.7428886339209102,Immediate action: allocate fastest route and backup resources
D839,F2,P4,2026-04-27,High,1,451.69,0.8,0.98,1.0,0.7421187600121005,Immediate action: allocate fastest route and backup resources
D945,F1,P96,2026-04-07,High,1,796.02,0.97,0.69,1.0,0.7411718865873107,Immediate action: allocate fastest route and backup resources
D856,F4,P49,2026-04-08,High,1,587.23,0.84,0.87,1.0,0.7404520748685117,Immediate action: allocate fastest route and backup resources
D129,F1,P136,2026-04-08,High,1,548.34,0.84,0.87,1.0,0.7384767198226961,Immediate action: allocate fastest route and backup resources
D988,F3,P88,2026-04-27,High,1,370.46,0.8,0.98,1.0,0.7379928127153249,Immediate action: allocate fastest route and backup resources
D593,F2,P83,2026-04-27,High,1,354.66,0.8,0.98,1.0,0.7371902771091566,Immediate action: allocate fastest route and backup resources
D148,F4,P47,2026-04-02,High,1,482.3,0.95,0.78,1.0,0.7367618440939023,Immediate action: allocate fastest route and backup resources
D806,F4,P137,2026-04-22,High,1,827.77,0.77,0.82,1.0,0.7366926351026087,Immediate action: allocate fastest route and backup resources
D813,F5,P197,2026-04-07,High,1,703.76,0.97,0.69,1.0,0.7364856881680011,Immediate action: allocate fastest route and backup resources
D1107,F4,P103,2026-04-02,High,1,471.37,0.95,0.78,1.0,0.7362066723106478,Immediate action: allocate fastest route and backup resources
D243,F4,P15,2026-04-07,High,1,674.32,0.97,0.69,1.0,0.7349903306841026,Immediate action: allocate fastest route and backup resources
D39,F1,P172,2026-04-02,High,1,429.53,0.95,0.78,1.0,0.7340814767560856,Immediate action: allocate fastest route and backup resources
D33,F3,P89,2026-04-07,High,1,666.18,0.97,0.69,0.9975078125,0.7332949609023828,Immediate action: allocate fastest route and backup resources
D345,F1,P167,2026-04-07,High,1,637.0,0.97,0.69,1.0,0.7330947212649758,Immediate action: allocate fastest route and backup resources
D72,F3,P131,2026-04-22,High,1,729.11,0.77,0.82,1.0,0.7316813589694082,Immediate action: allocate fastest route and backup resources
D596,F2,P189,2026-04-02,High,1,374.38,0.95,0.78,1.0,0.7312802211434157,Immediate action: allocate fastest route and backup resources
D603,F2,P135,2026-04-08,High,1,351.58,0.84,0.87,1.0,0.7284826118562604,Immediate action: allocate fastest route and backup resources
D894,F2,P109,2026-04-02,High,1,304.99,0.95,0.78,1.0,0.7277556676173383,Immediate action: allocate fastest route and backup resources
D737,F5,P79,2026-04-27,High,1,167.18,0.8,0.98,1.0,0.7276675318278628,Immediate action: allocate fastest route and backup resources
D480,F2,P17,2026-04-22,High,1,613.3,0.77,0.82,1.0,0.7257989761497653,Immediate action: allocate fastest route and backup resources
D267,F5,P97,2026-04-08,High,1,289.92,0.84,0.87,1.0,0.725350691256492,Immediate action: allocate fastest route and backup resources
D499,F4,P49,2026-04-22,High,1,587.23,0.77,0.82,1.0,0.7244747923995876,Immediate action: allocate fastest route and backup resources
D84,F2,P130,2026-04-02,High,1,225.08,0.95,0.78,1.0,0.7236967675990528,Immediate action: allocate fastest route and backup resources
D853,F3,P65,2026-04-22,High,1,628.08,0.77,0.82,0.9925466928615033,0.7227159297098875,Immediate action: allocate fastest route and backup resources
D583,F4,P118,2026-04-07,High,1,420.07,0.97,0.69,1.0,0.7220761105658555,Immediate action: allocate fastest route and backup resources
D2,F1,P103,2026-04-07,High,1,419.81,0.97,0.69,1.0,0.7220629042837288,Immediate action: allocate fastest route and backup resources
D913,F4,P153,2026-04-08,High,1,219.67,0.84,0.87,1.0,0.7217824554126105,Immediate action: allocate fastest route and backup resources
D655,F4,P136,2026-04-15,High,1,828.32,0.91,0.59,1.0,0.7215309015157958,Immediate action: allocate fastest route and backup resources
D817,F2,P49,2026-04-07,High,1,403.59,0.97,0.69,1.0,0.7212390354525863,Immediate action: allocate fastest route and backup resources
D794,F3,P73,2026-04-08,High,1,207.63,0.84,0.87,1.0,0.7211709029633532,Immediate action: allocate fastest route and backup resources
D1173,F1,P198,2026-04-22,High,1,494.85,0.77,0.82,1.0,0.7197824987731425,Immediate action: allocate fastest route and backup resources
D543,F4,P51,2026-04-07,High,1,350.37,0.97,0.69,1.0,0.7185358110880117,Immediate action: allocate fastest route and backup resources
D807,F3,P28,2026-04-15,High,1,728.26,0.91,0.59,1.0,0.7164485146326816,Immediate action: allocate fastest route and backup resources
D378,F5,P188,2026-04-02,High,1,76.22,0.95,0.78,1.0,0.7161356631475199,Immediate action: allocate fastest route and backup resources
D348,F1,P130,2026-04-15,High,1,708.39,0.91,0.59,1.0,0.7154392499178357,Immediate action: allocate fastest route and backup resources
D277,F2,P34,2026-04-07,High,1,281.96,0.97,0.69,1.0,0.7150610350868739,Immediate action: allocate fastest route and backup resources
D773,F3,P31,2026-04-08,High,1,69.42,0.84,0.87,1.0,0.7141507481450919,Immediate action: allocate fastest route and backup resources
D438,F4,P15,2026-04-15,High,1,674.32,0.91,0.59,1.0,0.7137087190252942,Immediate action: allocate fastest route and backup resources
D799,F4,P31,2026-04-23,High,1,775.02,0.74,0.68,1.0,0.7134067684161884,Immediate action: allocate fastest route and backup resources
D498,F1,P23,2026-04-22,High,1,354.92,0.77,0.82,1.0,0.712674979319273,Immediate action: allocate fastest route and backup resources
D602,F4,P48,2026-04-23,High,1,736.88,0.74,0.68,1.0,0.7114695084149694,Immediate action: allocate fastest route and backup resources
D36,F4,P70,2026-04-13,High,1,742.25,0.58,0.86,1.0,0.7110350250422965,Immediate action: allocate fastest route and backup resources
D647,F5,P125,2026-04-15,High,1,593.61,0.91,0.59,1.0,0.7096091842927722,Immediate action: allocate fastest route and backup resources
D955,F5,P79,2026-04-07,High,1,167.18,0.97,0.69,1.0,0.7092309694618104,Immediate action: allocate fastest route and backup resources
D400,F5,P196,2026-04-21,High,1,907.26,0.57,0.74,1.0,0.7070396746777463,Immediate action: allocate fastest route and backup resources
D1102,F2,P160,2026-04-15,High,1,537.43,0.91,0.59,1.0,0.706755611485523,Immediate action: allocate fastest route and backup resources
D103,F4,P153,2026-04-22,High,1,219.67,0.77,0.82,1.0,0.7058051729436864,Immediate action: allocate fastest route and backup resources
D1153,F4,P125,2026-04-21,High,1,874.73,0.57,0.74,1.0,0.7053873656101098,Immediate action: allocate fastest route and backup resources
D942,F4,P1,2026-04-13,High,1,622.2,0.58,0.86,1.0,0.704937278237201,Immediate action: allocate fastest route and backup resources
D37,F2,P136,2026-04-15,High,1,488.6,0.91,0.59,1.0,0.7042753701153204,Immediate action: allocate fastest route and backup resources
D700,F5,P137,2026-04-13,High,1,605.5,0.58,0.86,1.0,0.7040890285775167,Immediate action: allocate fastest route and backup resources
D167,F1,P15,2026-04-23,High,1,576.34,0.74,0.68,1.0,0.7033151371355855,Immediate action: allocate fastest route and backup resources
D414,F3,P183,2026-04-13,High,1,547.93,0.58,0.86,1.0,0.7011648529542818,Immediate action: allocate fastest route and backup resources
D60,F2,P160,2026-04-13,High,1,537.43,0.58,0.86,1.0,0.7006315223299294,Immediate action: allocate fastest route and backup resources
D421,F5,P198,2026-04-23,High,1,513.54,0.74,0.68,1.0,0.7001253120680302,Immediate action: allocate fastest route and backup resources
D154,F3,P194,2026-04-13,High,1,501.71,0.58,0.86,1.0,0.6988171823392754,Immediate action: allocate fastest route and backup resources
D723,F4,P70,2026-04-21,High,1,742.25,0.57,0.74,1.0,0.6986582569325666,Immediate action: allocate fastest route and backup resources
D668,F4,P136,2026-04-06,High,1,828.32,0.55,0.71,1.0,0.6979989683824911,Immediate action: allocate fastest route and backup resources
D511,F2,P131,2026-04-23,High,1,469.03,0.74,0.68,1.0,0.6978644981547041,Immediate action: allocate fastest route and backup resources
D440,F4,P147,2026-04-15,High,1,335.44,0.91,0.59,1.0,0.696495854074767,Immediate action: allocate fastest route and backup resources
D321,F2,P51,2026-04-23,High,1,420.17,0.74,0.68,1.0,0.6953827329827177,Immediate action: allocate fastest route and backup resources
D1159,F3,P137,2026-04-15,High,1,311.61,0.91,0.59,1.0,0.695285447524451,Immediate action: allocate fastest route and backup resources
D1055,F1,P109,2026-04-06,High,1,773.58,0.55,0.71,1.0,0.6952185380608674,Immediate action: allocate fastest route and backup resources
D961,F3,P118,2026-04-21,High,1,668.44,0.57,0.74,1.0,0.6949091966103333,Immediate action: allocate fastest route and backup resources
D373,F1,P49,2026-04-06,High,1,753.82,0.55,0.71,1.0,0.694214860619229,Immediate action: allocate fastest route and backup resources
D349,F1,P49,2026-04-06,High,1,753.82,0.55,0.71,1.0,0.694214860619229,Immediate action: allocate fastest route and backup resources
D704,F4,P131,2026-04-15,High,1,289.08,0.91,0.59,1.0,0.6941410723847692,Immediate action: allocate fastest route and backup resources
D90,F3,P11,2026-04-21,High,1,648.45,0.57,0.74,1.0,0.6938938366883519,Immediate action: allocate fastest route and backup resources
D473,F2,P49,2026-04-13,High,1,403.59,0.58,0.86,1.0,0.6938333346381843,Immediate action: allocate fastest route and backup resources
D460,F4,P161,2026-04-21,High,1,634.74,0.57,0.74,1.0,0.6931974592731261,Immediate action: allocate fastest route and backup resources
D477,F2,P88,2026-04-13,High,1,389.39,0.58,0.86,1.0,0.6931120684604887,Immediate action: allocate fastest route and backup resources
D1009,F2,P96,2026-04-23,High,1,364.19,0.74,0.68,1.0,0.6925393188540275,Immediate action: allocate fastest route and backup resources
D479,F4,P167,2026-04-09,High,1,803.13,0.84,0.43,1.0,0.6920098814463488,Immediate action: allocate fastest route and backup resources
D181,F5,P189,2026-04-06,High,1,702.83,0.55,0.71,1.0,0.6916249055205882,Immediate action: allocate fastest route and backup resources
D676,F2,P83,2026-04-13,High,1,354.66,0.58,0.86,1.0,0.6913480139287023,Immediate action: allocate fastest route and backup resources
D24,F5,P31,2026-04-09,High,1,780.71,0.84,0.43,1.0,0.6908710935798745,Immediate action: allocate fastest route and backup resources
D324,F3,P73,2026-04-15,High,1,207.63,0.91,0.59,1.0,0.6900039505415786,Immediate action: allocate fastest route and backup resources
D657,F1,P64,2026-04-15,High,1,205.38,0.91,0.59,1.0,0.6898896654077887,Immediate action: allocate fastest route and backup resources
D1143,F2,P109,2026-04-23,High,1,304.99,0.74,0.68,1.0,0.6895323500005359,Immediate action: allocate fastest route and backup resources
D522,F1,P52,2026-04-09,High,1,737.17,0.84,0.43,1.0,0.6886595492575599,Immediate action: allocate fastest route and backup resources
D317,F5,P97,2026-04-13,High,1,289.92,0.58,0.86,1.0,0.6880596496791238,Immediate action: allocate fastest route and backup resources
D591,F5,P64,2026-04-09,High,1,723.75,0.84,0.43,1.0,0.6879779019262448,Immediate action: allocate fastest route and backup resources
D846,F4,P1,2026-04-06,High,1,622.2,0.55,0.71,1.0,0.6875294342594899,Immediate action: allocate fastest route and backup resources
D665,F4,P130,2026-04-09,High,1,690.75,0.84,0.43,1.0,0.6863017199639945,Immediate action: allocate fastest route and backup resources
D575,F2,P183,2026-04-21,High,1,488.53,0.57,0.74,1.0,0.6857709573125012,Immediate action: allocate fastest route and backup resources
D192,F2,P194,2026-04-23,High,1,226.24,0.74,0.68,1.0,0.685532370317893,Immediate action: allocate fastest route and backup resources
D4,F3,P51,2026-04-21,High,1,471.41,0.57,0.74,1.0,0.6849013744278428,Immediate action: allocate fastest route and backup resources
D935,F2,P163,2026-04-13,High,1,223.11,0.58,0.86,1.0,0.6846661431064588,Immediate action: allocate fastest route and backup resources
D858,F5,P4,2026-04-15,High,1,94.01,0.91,0.59,1.0,0.6842328052521578,Immediate action: allocate fastest route and backup resources
D92,F5,P15,2026-04-06,High,1,552.7,0.55,0.71,1.0,0.683999293460205,Immediate action: allocate fastest route and backup resources
D1029,F4,P17,2026-04-15,High,1,109.11,0.91,0.59,0.997530959752322,0.6837297802183641,Immediate action: allocate fastest route and backup resources
D93,F1,P153,2026-04-23,High,1,170.81,0.74,0.68,1.0,0.6827168925552405,Immediate action: allocate fastest route and backup resources
D1112,F5,P130,2026-04-21,High,1,396.23,0.57,0.74,1.0,0.6810827271574798,Immediate action: allocate fastest route and backup resources
D964,F5,P47,2026-04-09,High,1,585.97,0.84,0.43,1.0,0.6809795882668855,Immediate action: allocate fastest route and backup resources
D822,F4,P47,2026-04-06,High,1,482.3,0.55,0.71,1.0,0.6804234386074043,Immediate action: allocate fastest route and backup resources
D502,F3,P67,2026-04-06,High,1,463.68,0.55,0.71,1.0,0.6794776656335527,Immediate action: allocate fastest route and backup resources
D582,F1,P68,2026-04-06,High,1,461.38,0.55,0.71,1.0,0.6793608408301232,Immediate action: allocate fastest route and backup resources
D686,F3,P180,2026-04-06,High,1,432.88,0.55,0.71,1.0,0.6779132291354524,Immediate action: allocate fastest route and backup resources
D200,F5,P188,2026-04-23,High,1,76.22,0.74,0.68,1.0,0.6779123455307174,Immediate action: allocate fastest route and backup resources
D335,F4,P73,2026-04-16,High,1,871.78,0.35,0.71,1.0,0.6773817599920618,Immediate action: allocate fastest route and backup resources
D202,F1,P160,2026-04-13,High,1,61.61,0.58,0.86,1.0,0.6764630101699911,Immediate action: allocate fastest route and backup resources
D775,F1,P47,2026-04-21,High,1,302.21,0.57,0.74,1.0,0.67630713236685,Immediate action: allocate fastest route and backup resources
D32,F3,P96,2026-04-21,High,1,297.4,0.57,0.74,1.0,0.6760628161475039,Immediate action: allocate fastest route and backup resources
D109,F4,P65,2026-04-21,High,1,293.29,0.57,0.74,1.0,0.6758540553031145,Immediate action: allocate fastest route and backup resources
D641,F5,P163,2026-04-21,High,1,289.34,0.57,0.74,1.0,0.6756534214015725,Immediate action: allocate fastest route and backup resources
D999,F4,P194,2026-04-09,High,1,479.12,0.84,0.43,1.0,0.6755523142466902,Immediate action: allocate fastest route and backup resources
D748,F1,P23,2026-04-06,High,1,354.92,0.55,0.71,1.0,0.6739533762331179,Immediate action: allocate fastest route and backup resources
D649,F3,P47,2026-04-21,High,1,251.52,0.57,0.74,1.0,0.673732415286048,Immediate action: allocate fastest route and backup resources
D779,F1,P70,2026-04-16,High,1,796.36,0.35,0.71,1.0,0.6735509223074279,Immediate action: allocate fastest route and backup resources
D425,F3,P73,2026-04-21,High,1,207.63,0.57,0.74,1.0,0.671503093276255,Immediate action: allocate fastest route and backup resources
D545,F3,P103,2026-04-06,High,1,298.85,0.55,0.71,1.0,0.6711053906990762,Immediate action: allocate fastest route and backup resources
D342,F2,P137,2026-04-06,High,1,291.44,0.55,0.71,1.0,0.6707290116584618,Immediate action: allocate fastest route and backup resources
D330,F3,P102,2026-04-06,High,1,290.44,0.55,0.71,1.0,0.6706782182656663,Immediate action: allocate fastest route and backup resources
D985,F1,P67,2026-04-06,High,1,282.15,0.55,0.71,1.0,0.6702571410393919,Immediate action: allocate fastest route and backup resources
D1134,F5,P64,2026-04-16,High,1,723.75,0.35,0.71,1.0,0.6698628140565491,Immediate action: allocate fastest route and backup resources
D1186,F2,P97,2026-04-06,High,1,261.24,0.55,0.71,1.0,0.6691950511960387,Immediate action: allocate fastest route and backup resources
D986,F5,P88,2026-04-16,High,1,705.19,0.35,0.71,1.0,0.6689200886862653,Immediate action: allocate fastest route and backup resources
D693,F2,P54,2026-04-09,High,1,339.52,0.84,0.43,1.0,0.6684615566124432,Immediate action: allocate fastest route and backup resources
D38,F4,P96,2026-04-18,High,1,902.65,0.71,0.25,1.0,0.6675374074069977,Immediate action: allocate fastest route and backup resources
D52,F5,P114,2026-04-04,Medium,1,848.32,0.97,1.0,1.0,0.6671620715577318,High risk: prioritize dispatch and monitor closely
D746,F1,P132,2026-04-09,High,1,293.09,0.84,0.43,1.0,0.6661032193849498,Immediate action: allocate fastest route and backup resources
D1,F5,P88,2026-04-30,High,1,705.19,0.92,0.25,1.0,0.6659464495949665,Immediate action: allocate fastest route and backup resources
D848,F2,P64,2026-04-16,High,1,631.66,0.35,0.71,1.0,0.6651852505140148,Immediate action: allocate fastest route and backup resources
D739,F4,P109,2026-04-18,High,1,839.78,0.71,0.25,1.0,0.6643440268019469,Immediate action: allocate fastest route and backup resources
D120,F4,P79,2026-04-16,High,1,613.34,0.35,0.71,1.0,0.6642547155580019,Immediate action: allocate fastest route and backup resources
D630,F4,P54,2026-04-06,High,1,202.61,0.55,0.71,0.9950465360763096,0.6636691112410406,Immediate action: allocate fastest route and backup resources
D427,F3,P161,2026-04-17,High,1,803.27,0.48,0.38,1.0,0.6632771725470582,Immediate action: allocate fastest route and backup resources
D952,F1,P96,2026-04-17,High,1,796.02,0.48,0.38,1.0,0.6629089204492911,Immediate action: allocate fastest route and backup resources
D270,F4,P167,2026-04-18,High,1,803.13,0.71,0.25,1.0,0.6624824489559931,Immediate action: allocate fastest route and backup resources
D998,F4,P102,2026-04-14,High,1,695.22,0.88,0.24,1.0,0.6624181792030435,Immediate action: allocate fastest route and backup resources
D567,F3,P117,2026-04-04,Medium,1,749.65,0.97,1.0,1.0,0.6621502874906032,High risk: prioritize dispatch and monitor closely
D273,F5,P31,2026-04-17,High,1,780.71,0.48,0.38,1.0,0.6621312736055924,Immediate action: allocate fastest route and backup resources
D255,F4,P52,2026-04-16,High,1,583.44,0.35,0.71,0.9975039123630672,0.6614520754276687,Immediate action: allocate fastest route and backup resources
D766,F1,P79,2026-04-17,High,1,759.18,0.48,0.38,1.0,0.6610376918587061,Immediate action: allocate fastest route and backup resources
D979,F5,P4,2026-04-06,High,1,94.01,0.55,0.71,1.0,0.6607008721188531,Immediate action: allocate fastest route and backup resources
D787,F5,P4,2026-04-06,High,1,94.01,0.55,0.71,1.0,0.6607008721188531,Immediate action: allocate fastest route and backup resources
D833,F3,P128,2026-04-16,High,1,541.73,0.35,0.71,1.0,0.6606174006999186,Immediate action: allocate fastest route and backup resources
D161,F3,P15,2026-04-09,High,1,184.66,0.84,0.43,1.0,0.6605956918041375,Immediate action: allocate fastest route and backup resources
D232,F4,P49,2026-04-26,High,1,587.23,0.53,0.44,1.0,0.6604692201749841,Immediate action: allocate fastest route and backup resources
D989,F2,P55,2026-04-16,High,1,535.98,0.35,0.71,1.0,0.6603253386913447,Immediate action: allocate fastest route and backup resources
D1164,F1,P49,2026-04-18,High,1,753.82,0.71,0.25,1.0,0.6599778267572487,Immediate action: allocate fastest route and backup resources
D680,F5,P188,2026-04-06,High,1,76.22,0.55,0.71,1.0,0.6597972576610218,Immediate action: allocate fastest route and backup resources
D990,F3,P79,2026-04-14,High,1,642.06,0.88,0.24,1.0,0.6597180024420366,Immediate action: allocate fastest route and backup resources
D830,F1,P15,2026-04-30,High,1,576.34,0.92,0.25,1.0,0.6594017209332709,Immediate action: allocate fastest route and backup resources
D1077,F4,P58,2026-04-04,Medium,1,693.19,0.97,1.0,1.0,0.6592824925333712,High risk: prioritize dispatch and monitor closely
D673,F5,P48,2026-04-28,High,1,733.63,0.56,0.32,1.0,0.6592255614786113,Immediate action: allocate fastest route and backup resources
D409,F1,P52,2026-04-18,High,1,737.17,0.71,0.25,1.0,0.6591321167672042,Immediate action: allocate fastest route and backup resources
D684,F1,P160,2026-04-06,High,1,61.61,0.55,0.71,1.0,0.65905516619228,Immediate action: allocate fastest route and backup resources
D777,F1,P161,2026-04-19,High,1,847.66,0.33,0.43,1.0,0.6590220327020272,Immediate action: allocate fastest route and backup resources
D389,F1,P31,2026-04-26,High,1,557.55,0.53,0.44,1.0,0.6589616722768147,Immediate action: allocate fastest route and backup resources
D73,F2,P17,2026-04-14,High,1,613.3,0.88,0.24,1.0,0.658257184465239,Immediate action: allocate fastest route and backup resources
D697,F1,P130,2026-04-28,High,1,708.39,0.56,0.32,1.0,0.6579435362444538,Immediate action: allocate fastest route and backup resources
D674,F2,P161,2026-04-26,High,1,533.86,0.53,0.44,1.0,0.6577583768014902,Immediate action: allocate fastest route and backup resources
D41,F2,P160,2026-04-30,High,1,537.43,0.92,0.25,1.0,0.6574253500195993,Immediate action: allocate fastest route and backup resources
D294,F2,P160,2026-04-30,High,1,537.43,0.92,0.25,1.0,0.6574253500195993,Immediate action: allocate fastest route and backup resources
D50,F5,P180,2026-04-16,High,1,477.92,0.35,0.71,1.0,0.6573762743056399,Immediate action: allocate fastest route and backup resources
D494,F4,P114,2026-04-04,Medium,1,647.27,0.97,1.0,1.0,0.6569500599362035,High risk: prioritize dispatch and monitor closely
D286,F3,P118,2026-04-17,High,1,668.44,0.48,0.38,1.0,0.6564286993964457,Immediate action: allocate fastest route and backup resources
D978,F5,P4,2026-04-09,High,1,94.01,0.84,0.43,1.0,0.6559912707472285,Immediate action: allocate fastest route and backup resources
D1069,F1,P188,2026-04-17,High,1,659.7,0.48,0.38,1.0,0.6559847651434132,Immediate action: allocate fastest route and backup resources
D1118,F3,P17,2026-04-19,High,1,771.67,0.33,0.43,1.0,0.6551622427834998,Immediate action: allocate fastest route and backup resources
D771,F4,P47,2026-04-26,High,1,482.3,0.53,0.44,1.0,0.655139469468956,Immediate action: allocate fastest route and backup resources
D26,F1,P48,2026-04-14,High,1,534.63,0.88,0.24,1.0,0.6542612682540198,Immediate action: allocate fastest route and backup resources
D556,F4,P23,2026-04-26,High,1,445.64,0.53,0.44,1.0,0.6532773836890742,Immediate action: allocate fastest route and backup resources
D767,F2,P17,2026-04-18,High,1,613.3,0.71,0.25,1.0,0.6528403392016299,Immediate action: allocate fastest route and backup resources
D124,F5,P17,2026-04-28,High,1,600.16,0.56,0.32,1.0,0.6524461673422006,Immediate action: allocate fastest route and backup resources
D218,F5,P160,2026-04-19,High,1,716.25,0.33,0.43,1.0,0.6523472729547751,Immediate action: allocate fastest route and backup resources
D524,F5,P17,2026-04-18,High,1,600.16,0.71,0.25,1.0,0.6521729140202975,Immediate action: allocate fastest route and backup resources
D465,F1,P96,2026-04-01,High,1,796.02,0.55,0.21,1.0,0.652155598546162,Immediate action: allocate fastest route and backup resources
D136,F2,P189,2026-04-16,High,1,374.38,0.35,0.71,1.0,0.6521171264155975,Immediate action: allocate fastest route and backup resources
D924,F4,P48,2026-04-11,High,1,736.88,0.89,0.15,1.0,0.6520449477634478,Immediate action: allocate fastest route and backup resources
D717,F4,P4,2026-04-18,High,1,582.14,0.71,0.25,1.0,0.6512576170821233,Immediate action: allocate fastest route and backup resources
D1124,F2,P83,2026-04-16,High,1,354.66,0.35,0.71,1.0,0.651115480709671,Immediate action: allocate fastest route and backup resources
D1034,F4,P103,2026-04-14,High,1,471.37,0.88,0.24,1.0,0.6510480782257786,Immediate action: allocate fastest route and backup resources
D865,F1,P109,2026-04-01,High,1,773.58,0.55,0.21,1.0,0.6510157948118318,Immediate action: allocate fastest route and backup resources
D560,F1,P130,2026-04-11,High,1,708.39,0.89,0.15,1.0,0.650597844002705,Immediate action: allocate fastest route and backup resources
D54,F5,P88,2026-04-11,High,1,705.19,0.89,0.15,1.0,0.6504353051457595,Immediate action: allocate fastest route and backup resources
D776,F4,P167,2026-04-20,High,1,803.13,0.25,0.41,1.0,0.6504271553426197,Immediate action: allocate fastest route and backup resources
D105,F1,P137,2026-04-01,High,1,757.0,0.55,0.21,1.0,0.6501736403592829,Immediate action: allocate fastest route and backup resources
D835,F3,P111,2026-04-04,Medium,1,502.6,0.97,1.0,1.0,0.6496017798004835,High risk: prioritize dispatch and monitor closely
D812,F5,P51,2026-04-19,High,1,655.5,0.33,0.43,1.0,0.6492615743424506,Immediate action: allocate fastest route and backup resources
D177,F1,P4,2026-04-03,High,1,774.08,0.11,0.93,1.0,0.6489194598322758,Immediate action: allocate fastest route and backup resources
D652,F4,P147,2026-04-16,High,1,335.44,0.35,0.71,0.9975155763239876,0.6488613136297474,Immediate action: allocate fastest route and backup resources
D1040,F3,P64,2026-04-01,High,1,728.47,0.55,0.21,1.0,0.6487245048628283,Immediate action: allocate fastest route and backup resources
D1031,F5,P37,2026-04-12,High,1,722.44,0.51,0.23,1.0,0.6487075477509927,Immediate action: allocate fastest route and backup resources
D143,F2,P1,2026-04-19,High,1,644.38,0.33,0.43,1.0,0.6486967518145651,Immediate action: allocate fastest route and backup resources
D327,F3,P161,2026-04-10,High,1,803.27,0.22,0.4,1.0,0.6481035763190256,Immediate action: allocate fastest route and backup resources
D375,F5,P198,2026-04-28,High,1,513.54,0.56,0.32,1.0,0.6480464436582574,Immediate action: allocate fastest route and backup resources
D540,F1,P135,2026-04-12,High,1,707.76,0.51,0.23,1.0,0.6479619007447552,Immediate action: allocate fastest route and backup resources
