delivery_id,factory_id,project_id,date,priority_level,predicted_delay_probability,predicted_delay_class,priority_score,delay_hours,reward_score,optimized_planning_score,recommended_action
D917,F5,P11,2026-04-30,High,1.0,1,0.6335412808593157,1.3,-17.6,1.255554498957943,Immediate action: allocate fastest route and backup resources
D1030,F3,P31,2026-04-24,High,1.0,1,0.6121147430015,0.5000000000000002,-16.0,1.2544634974498985,Immediate action: allocate fastest route and backup resources
D59,F5,P188,2026-04-28,High,1.0,1,0.6258334771209446,1.1199999999999999,-17.240000000000002,1.2524221908982704,Immediate action: allocate fastest route and backup resources
D13,F3,P174,2026-04-02,Medium,1.0,1,0.5896037344208086,1.2000000000000002,-14.4,1.2522880252189785,High risk: prioritize dispatch and monitor closely
D1142,F5,P11,2026-04-20,High,1.0,1,0.6130472817165811,0.6399999999999999,-16.28,1.2518373173037696,Immediate action: allocate fastest route and backup resources
D324,F3,P73,2026-04-15,High,1.0,1,0.6900039505415786,3.71,-22.42,1.2507563653865201,Immediate action: allocate fastest route and backup resources
D1017,F5,P118,2026-04-14,High,1.0,1,0.6309643707144517,1.42,-17.84,1.2499272583606134,Immediate action: allocate fastest route and backup resources
D1190,F2,P102,2026-04-24,High,1.0,1,0.6169517977974122,0.9699999999999998,-16.939999999999998,1.2473534246403202,Immediate action: allocate fastest route and backup resources
D274,F5,P11,2026-04-20,High,1.0,1,0.6130472817165811,0.8299999999999998,-16.66,1.247007627420699,Immediate action: allocate fastest route and backup resources
D1186,F2,P97,2026-04-06,High,1.0,1,0.6691950511960387,3.0699999999999994,-21.14,1.2462158951207973,Immediate action: allocate fastest route and backup resources
D88,F1,P88,2026-04-16,High,1.0,1,0.6419396543011702,2.0300000000000002,-19.060000000000002,1.2453966954806313,Immediate action: allocate fastest route and backup resources
D1015,F5,P89,2026-04-12,High,1.0,1,0.6163292995135234,1.0299999999999998,-17.06,1.2452057611301985,Immediate action: allocate fastest route and backup resources
D87,F5,P55,2026-04-10,High,1.0,1,0.6184874727817737,1.1600000000000001,-17.32,1.2440594097416109,Immediate action: allocate fastest route and backup resources
D958,F2,P102,2026-04-10,High,1.0,1,0.6156658998119856,1.0899999999999999,-17.18,1.243017196202428,Immediate action: allocate fastest route and backup resources
D209,F3,P15,2026-04-24,High,1.0,1,0.6179681735872494,1.1899999999999995,-17.38,1.2427775279339703,Immediate action: allocate fastest route and backup resources
D645,F5,P89,2026-04-28,High,1.0,1,0.6262789351757608,1.52,-18.04,1.242699880778201,Immediate action: allocate fastest route and backup resources
D174,F5,P59,2026-04-02,Medium,1.0,1,0.5901558586004954,1.62,-15.24,1.2421639928150352,High risk: prioritize dispatch and monitor closely
D552,F5,P49,2026-04-28,High,1.0,1,0.6281826715377349,1.6300000000000003,-18.26,1.2418074808920814,Immediate action: allocate fastest route and backup resources
D277,F2,P34,2026-04-07,High,1.0,1,0.7150610350868739,5.11,-25.22,1.240226261319716,Immediate action: allocate fastest route and backup resources
D84,F2,P130,2026-04-02,High,1.0,1,0.7236967675990528,5.47,-25.939999999999998,1.2397110024744977,Immediate action: allocate fastest route and backup resources
D863,F3,P196,2026-04-20,High,1.0,1,0.6214866039295476,1.4699999999999998,-17.939999999999998,1.2391785205538484,Immediate action: allocate fastest route and backup resources
D132,F2,P193,2026-04-02,Medium,1.0,1,0.5908959183335253,1.83,-15.66,1.2375659742562504,High risk: prioritize dispatch and monitor closely
D756,F5,P52,2026-04-14,High,1.0,1,0.6341034023892115,2.0400000000000005,-19.080000000000002,1.2373062493643006,Immediate action: allocate fastest route and backup resources
D425,F3,P73,2026-04-21,High,1.0,1,0.671503093276255,3.5599999999999996,-22.119999999999997,1.2360684211867787,Immediate action: allocate fastest route and backup resources
D229,F4,P183,2026-04-20,High,1.0,1,0.6259767398526667,1.790000000000001,-18.580000000000002,1.235534441937059,Immediate action: allocate fastest route and backup resources
D976,F3,P167,2026-04-10,High,1.0,1,0.6127412162548227,1.3199999999999998,-17.64,1.2342460459447058,Immediate action: allocate fastest route and backup resources
D794,F3,P73,2026-04-08,High,1.0,1,0.7211709029633532,5.589999999999999,-26.18,1.2341348073863323,Immediate action: allocate fastest route and backup resources
D423,F3,P137,2026-04-19,High,1.0,1,0.6317942344940181,2.0900000000000007,-19.18,1.2337261104472463,Immediate action: allocate fastest route and backup resources
D778,F4,P153,2026-04-30,High,1.0,1,0.6412852415249123,2.4699999999999998,-19.939999999999998,1.2335577377119993,Immediate action: allocate fastest route and backup resources
D430,F3,P96,2026-04-12,High,1.0,1,0.6271183240772081,1.9699999999999998,-18.939999999999998,1.232100530482902,Immediate action: allocate fastest route and backup resources
D61,F1,P106,2026-04-27,Medium,1.0,1,0.5996219599958467,2.39,-16.78,1.2320571404737317,High risk: prioritize dispatch and monitor closely
D116,F3,P103,2026-04-10,High,1.0,1,0.622482373125137,1.79,-18.58,1.2320400752095293,Immediate action: allocate fastest route and backup resources
D701,F5,P52,2026-04-14,High,1.0,1,0.6341034023892115,2.31,-19.62,1.2304430058462525,Immediate action: allocate fastest route and backup resources
D367,F5,P11,2026-04-25,High,0.9850914042719903,1,0.5950754593345636,0.78,-16.560000000000002,1.2303067760605422,Immediate action: allocate fastest route and backup resources
D641,F5,P163,2026-04-21,High,1.0,1,0.6756534214015725,3.9499999999999993,-22.9,1.2303051753415826,Immediate action: allocate fastest route and backup resources
D627,F3,P198,2026-04-10,High,1.0,1,0.6173822085545444,1.67,-18.34,1.2299902410914023,Immediate action: allocate fastest route and backup resources
D775,F1,P47,2026-04-21,High,1.0,1,0.67630713236685,4.03,-23.060000000000002,1.228925332671883,Immediate action: allocate fastest route and backup resources
D1192,F1,P153,2026-04-24,High,1.0,1,0.6172646850970323,1.7100000000000009,-18.42,1.228855940816402,Immediate action: allocate fastest route and backup resources
D453,F4,P55,2026-04-12,High,1.0,1,0.6288651088554442,2.210000000000001,-19.42,1.2277466543562068,Immediate action: allocate fastest route and backup resources
D1090,F3,P103,2026-04-19,High,1.0,1,0.6311461108019479,2.3,-19.6,1.2277399084633611,Immediate action: allocate fastest route and backup resources
D657,F1,P64,2026-04-15,High,1.0,1,0.6898896654077887,4.62,-24.240000000000002,1.2275104076548655,Immediate action: allocate fastest route and backup resources
D93,F1,P153,2026-04-23,High,1.0,1,0.6827168925552405,4.35,-23.7,1.227200878320365,Immediate action: allocate fastest route and backup resources
D1105,F3,P198,2026-04-28,High,1.0,1,0.6320414455884064,2.37,-19.740000000000002,1.2268558838192147,Immediate action: allocate fastest route and backup resources
D254,F2,P34,2026-04-04,High,1.0,1,0.7633947256140922,7.55,-30.1,1.2265365659801317,Immediate action: allocate fastest route and backup resources
D106,F2,P102,2026-04-01,High,1.0,1,0.6200861741368892,1.92,-18.84,1.2263393515644436,Immediate action: allocate fastest route and backup resources
D1143,F2,P109,2026-04-23,High,1.0,1,0.6895323500005359,4.680000000000001,-24.36,1.22562792702138,Immediate action: allocate fastest route and backup resources
D109,F4,P65,2026-04-21,High,1.0,1,0.6758540553031145,4.18,-23.36,1.2246593425425654,Immediate action: allocate fastest route and backup resources
D910,F1,P34,2026-04-25,High,0.9851004951366688,1,0.6043814215098642,1.38,-17.759999999999998,1.2243610859735143,Immediate action: allocate fastest route and backup resources
D615,F1,P67,2026-04-17,High,1.0,1,0.6368077196934854,2.670000000000001,-20.340000000000003,1.2239963317931295,Immediate action: allocate fastest route and backup resources
D750,F4,P54,2026-04-30,High,0.997530959752322,1,0.6391487009788164,2.7799999999999994,-20.56,1.2235411768303668,Immediate action: allocate fastest route and backup resources
D510,F3,P198,2026-04-17,High,1.0,1,0.632555804782577,2.5599999999999996,-20.119999999999997,1.2225405531303146,Immediate action: allocate fastest route and backup resources
D185,F2,P56,2026-04-12,High,0.9975078125,1,0.6290165868357676,2.4499999999999993,-19.9,1.2217974714315987,Immediate action: allocate fastest route and backup resources
D416,F2,P163,2026-04-19,High,1.0,1,0.6272990192316195,2.41,-19.82,1.2210966806449393,Immediate action: allocate fastest route and backup resources
D748,F1,P23,2026-04-06,High,1.0,1,0.6739533762331179,4.260000000000002,-23.520000000000003,1.2207251098375917,Immediate action: allocate fastest route and backup resources
D386,F3,P73,2026-04-28,High,1.0,1,0.6325082368681967,2.63,-20.259999999999998,1.2207136257853293,Immediate action: allocate fastest route and backup resources
D985,F1,P67,2026-04-06,High,1.0,1,0.6702571410393919,4.12,-23.240000000000002,1.2205875935050756,Immediate action: allocate fastest route and backup resources
D1199,F3,P103,2026-04-18,High,1.0,1,0.6368683568370959,2.8099999999999996,-20.619999999999997,1.2204982500755301,Immediate action: allocate fastest route and backup resources
D784,F2,P88,2026-04-12,High,1.0,1,0.631790808280463,2.619999999999999,-20.24,1.2202503914019678,Immediate action: allocate fastest route and backup resources
D704,F4,P131,2026-04-15,High,1.0,1,0.6941410723847692,5.08,-25.16,1.2200688812307274,Immediate action: allocate fastest route and backup resources
D204,F3,P23,2026-04-05,High,1.0,1,0.6150348662568819,1.9900000000000002,-18.98,1.2195086842538314,Immediate action: allocate fastest route and backup resources
D730,F2,P73,2026-04-12,High,0.9975078125,1,0.6282953206580719,2.549999999999999,-20.099999999999998,1.2185342632101817,Immediate action: allocate fastest route and backup resources
D248,F2,P102,2026-04-11,High,0.987641163563158,1,0.6166224047142511,2.13,-19.259999999999998,1.2175375038499907,Immediate action: allocate fastest route and backup resources
D530,F5,P97,2026-04-17,High,1.0,1,0.6372023843555061,2.9399999999999995,-20.88,1.2175277529371025,Immediate action: allocate fastest route and backup resources
D870,F2,P23,2026-04-05,High,0.9975026096033404,1,0.6058691756418125,1.7199999999999998,-18.439999999999998,1.21720623715681,Immediate action: allocate fastest route and backup resources
D630,F4,P54,2026-04-06,High,0.9950465360763096,1,0.6636691112410406,4.0,-23.0,1.21704989415919,Immediate action: allocate fastest route and backup resources
D892,F2,P45,2026-04-15,Medium,1.0,1,0.5587116650420764,1.4100000000000001,-14.82,1.2160578775484312,High risk: prioritize dispatch and monitor closely
D391,F3,P170,2026-04-28,High,1.0,1,0.6344693697640296,2.92,-20.84,1.2153031267543701,Immediate action: allocate fastest route and backup resources
D446,F4,P37,2026-04-04,High,0.9651220435592468,1,0.7496733792712204,7.479999999999999,-29.959999999999997,1.214594579067865,Immediate action: allocate fastest route and backup resources
D527,F5,P55,2026-04-14,High,1.0,1,0.6382903017573417,3.130000000000001,-21.26,1.2137859804558673,Immediate action: allocate fastest route and backup resources
D935,F2,P163,2026-04-13,High,1.0,1,0.6846661431064588,4.959999999999999,-24.919999999999998,1.2136442824048828,Immediate action: allocate fastest route and backup resources
D936,F1,P23,2026-04-01,High,1.0,1,0.6297506329840823,2.8000000000000007,-20.6,1.2136347204268887,Immediate action: allocate fastest route and backup resources
D536,F3,P47,2026-04-19,High,1.0,1,0.6287420595209386,2.79,-20.58,1.212880341168117,Immediate action: allocate fastest route and backup resources
D800,F4,P153,2026-04-16,High,1.0,1,0.6442588806162111,3.4399999999999995,-21.88,1.2118745389792003,Immediate action: allocate fastest route and backup resources
D136,F2,P189,2026-04-16,High,1.0,1,0.6521171264155975,3.780000000000001,-22.560000000000002,1.211090181829934,Immediate action: allocate fastest route and backup resources
D531,F5,P123,2026-04-02,Medium,1.0,1,0.5958543693382186,3.0699999999999994,-18.14,1.211004343918798,High risk: prioritize dispatch and monitor closely
D516,F5,P97,2026-04-26,High,1.0,1,0.6453678365629644,3.5199999999999996,-22.04,1.2109499412909766,Immediate action: allocate fastest route and backup resources
D267,F5,P97,2026-04-08,High,1.0,1,0.725350691256492,6.67,-28.34,1.2108616216072798,Immediate action: allocate fastest route and backup resources
D592,F2,P57,2026-04-15,Medium,1.0,1,0.5577902728967666,1.64,-15.28,1.2092900187025624,High risk: prioritize dispatch and monitor closely
D1141,F4,P183,2026-04-20,High,1.0,1,0.6259767398526667,2.8400000000000016,-20.680000000000003,1.2088440504779843,Immediate action: allocate fastest route and backup resources
D498,F1,P23,2026-04-22,High,1.0,1,0.712674979319273,6.270000000000001,-27.540000000000003,1.2083536778449466,Immediate action: allocate fastest route and backup resources
D1049,F1,P198,2026-04-12,High,1.0,1,0.6371474794846728,3.370000000000001,-21.740000000000002,1.206542497278267,Immediate action: allocate fastest route and backup resources
D275,F4,P52,2026-04-01,High,1.0,1,0.641357939105702,3.5500000000000007,-22.1,1.2061774612205978,Immediate action: allocate fastest route and backup resources
D161,F3,P15,2026-04-09,High,1.0,1,0.6605956918041375,4.319999999999999,-23.64,1.2058422601823784,Immediate action: allocate fastest route and backup resources
D1002,F1,P17,2026-04-01,High,1.0,1,0.6279581341523304,3.039999999999999,-21.08,1.2057415606902053,Immediate action: allocate fastest route and backup resources
D103,F4,P153,2026-04-22,High,1.0,1,0.7058051729436864,6.129999999999999,-27.259999999999998,1.20504259033057,Immediate action: allocate fastest route and backup resources
D164,F5,P138,2026-04-22,Medium,1.0,1,0.5780628376666592,2.66,-17.32,1.2036347746264964,High risk: prioritize dispatch and monitor closely
D70,F1,P180,2026-04-26,High,1.0,1,0.6427895639446666,3.719999999999999,-22.439999999999998,1.2032877845852359,Immediate action: allocate fastest route and backup resources
D1139,F3,P56,2026-04-20,High,1.0,1,0.6417074536014222,3.7300000000000004,-22.46,1.2019514800376194,Immediate action: allocate fastest route and backup resources
D297,F2,P37,2026-04-17,High,0.9925259984273279,1,0.6442389275364662,3.83,-22.66,1.201941011928942,Immediate action: allocate fastest route and backup resources
D875,F4,P54,2026-04-12,High,0.9950465360763096,1,0.619755695038726,2.87,-20.740000000000002,1.201860423050927,Immediate action: allocate fastest route and backup resources
D482,F1,P130,2026-04-24,High,1.0,1,0.6445701971960184,3.879999999999999,-22.759999999999998,1.2010013105666335,Immediate action: allocate fastest route and backup resources
D113,F2,P67,2026-04-01,High,1.0,1,0.6259101445548172,3.16,-21.32,1.2006432406402263,Immediate action: allocate fastest route and backup resources
D637,F5,P125,2026-04-01,High,1.0,1,0.6418745079104319,3.8200000000000003,-22.64,1.1998307865072797,Immediate action: allocate fastest route and backup resources
D569,F2,P160,2026-04-01,High,1.0,1,0.6390209351031827,3.74,-22.48,1.1990107673350077,Immediate action: allocate fastest route and backup resources
D101,F3,P174,2026-04-09,Medium,1.0,1,0.528555727562686,0.8999999999999999,-13.8,1.19886584449202,High risk: prioritize dispatch and monitor closely
D1080,F3,P73,2026-04-17,High,1.0,1,0.6330225960623673,3.5200000000000005,-22.04,1.1986047007903795,Immediate action: allocate fastest route and backup resources
D1122,F2,P153,2026-04-24,High,1.0,1,0.6374799474956994,3.709999999999999,-22.419999999999998,1.1982323623406408,Immediate action: allocate fastest route and backup resources
D53,F5,P23,2026-04-28,High,1.0,1,0.6462834049943268,4.0600000000000005,-23.12,1.1981390226862434,Immediate action: allocate fastest route and backup resources
D1116,F4,P29,2026-04-27,Medium,1.0,1,0.6006180184285658,3.8100000000000005,-19.62,1.1969576218856068,High risk: prioritize dispatch and monitor closely
D776,F4,P167,2026-04-20,High,1.0,1,0.6504271553426197,4.270000000000003,-23.540000000000006,1.1969446947427214,Immediate action: allocate fastest route and backup resources
D489,F3,P96,2026-04-30,High,1.0,1,0.6452334119469038,4.069999999999999,-23.14,1.1968348354344482,Immediate action: allocate fastest route and backup resources
D10,F5,P130,2026-04-28,High,1.0,1,0.6420878707494214,3.9700000000000006,-22.94,1.1962312362806873,Immediate action: allocate fastest route and backup resources
D486,F4,P83,2026-04-26,High,0.9975155763239876,1,0.6400284788046443,3.92,-22.84,1.1954428153577707,Immediate action: allocate fastest route and backup resources
D2,F1,P103,2026-04-07,High,1.0,1,0.7220629042837288,7.18,-29.36,1.1946099302115376,Immediate action: allocate fastest route and backup resources
D1159,F3,P137,2026-04-15,High,1.0,1,0.695285447524451,6.13,-27.259999999999998,1.1945228649113346,Immediate action: allocate fastest route and backup resources
D475,F1,P7,2026-04-24,High,1.0,1,0.6336506336128492,3.710000000000001,-22.42,1.1944030484577906,Immediate action: allocate fastest route and backup resources
D649,F3,P47,2026-04-21,High,1.0,1,0.673732415286048,5.29,-25.58,1.1943221458401914,Immediate action: allocate fastest route and backup resources
D991,F5,P117,2026-04-13,Medium,1.0,1,0.5556473698684816,2.15,-16.3,1.194183211251298,High risk: prioritize dispatch and monitor closely
D412,F1,P180,2026-04-16,High,1.0,1,0.6452488438417947,4.209999999999999,-23.419999999999998,1.193291548468129,Immediate action: allocate fastest route and backup resources
D980,F2,P188,2026-04-10,High,1.0,1,0.630233444865725,3.630000000000001,-22.26,1.1930194133456435,Immediate action: allocate fastest route and backup resources
D1003,F2,P34,2026-04-28,High,1.0,1,0.6362837097546836,3.87,-22.740000000000002,1.1929690173296708,Immediate action: allocate fastest route and backup resources
D362,F2,P183,2026-04-19,High,1.0,1,0.6407806015473918,4.050000000000001,-23.1,1.1928904134436804,Immediate action: allocate fastest route and backup resources
D572,F4,P83,2026-04-12,High,0.9975155763239876,1,0.621399031740778,3.3100000000000005,-21.62,1.1923192147606052,Immediate action: allocate fastest route and backup resources
D192,F2,P194,2026-04-23,High,1.0,1,0.685532370317893,5.84,-26.68,1.1921414196315685,Immediate action: allocate fastest route and backup resources
D1182,F1,P81,2026-04-27,Medium,1.0,1,0.6024039141192543,4.069999999999999,-20.14,1.1921344682626198,High risk: prioritize dispatch and monitor closely
D596,F2,P189,2026-04-02,High,1.0,1,0.7312802211434157,7.650000000000002,-30.300000000000004,1.1918801194657338,Immediate action: allocate fastest route and backup resources
D71,F1,P11,2026-04-12,High,1.0,1,0.644671504759465,4.25,-23.5,1.191697432568311,Immediate action: allocate fastest route and backup resources
D1011,F5,P48,2026-04-10,High,1.0,1,0.6445663244447494,4.25,-23.5,1.1915922522535953,Immediate action: allocate fastest route and backup resources
D32,F3,P96,2026-04-21,High,1.0,1,0.6760628161475039,5.489999999999999,-25.979999999999997,1.1915686626142044,Immediate action: allocate fastest route and backup resources
D732,F2,P168,2026-04-08,Medium,1.0,1,0.5966737575520282,3.88,-19.759999999999998,1.1912340015784644,High risk: prioritize dispatch and monitor closely
D909,F1,P113,2026-04-13,Medium,1.0,1,0.5535821105174179,2.21,-16.42,1.1905927866740016,High risk: prioritize dispatch and monitor closely
D389,F1,P31,2026-04-26,High,1.0,1,0.6589616722768147,4.860000000000001,-24.720000000000002,1.19048175361896,Immediate action: allocate fastest route and backup resources
D698,F2,P96,2026-04-14,High,1.0,1,0.6456040423859607,4.35,-23.7,1.1900880281510853,Immediate action: allocate fastest route and backup resources
D582,F1,P68,2026-04-06,High,1.0,1,0.6793608408301232,5.76,-26.52,1.188003443778776,Immediate action: allocate fastest route and backup resources
D69,F2,P28,2026-04-17,High,0.9975026096033404,1,0.6449920361894911,4.460000000000001,-23.92,1.1866798857065222,Immediate action: allocate fastest route and backup resources
D1185,F3,P137,2026-04-20,High,1.0,1,0.6254611869157927,3.7299999999999995,-22.46,1.1857052133519899,Immediate action: allocate fastest route and backup resources
D1124,F2,P83,2026-04-16,High,1.0,1,0.651115480709671,4.75,-24.5,1.1854316982999098,Immediate action: allocate fastest route and backup resources
D746,F1,P132,2026-04-09,High,1.0,1,0.6661032193849498,5.34,-25.68,1.1854219789172324,Immediate action: allocate fastest route and backup resources
D410,F5,P153,2026-04-10,High,1.0,1,0.6411855162202832,4.370000000000001,-23.740000000000002,1.1851611135766635,Immediate action: allocate fastest route and backup resources
D550,F3,P170,2026-04-26,High,1.0,1,0.6431491811656584,4.459999999999999,-23.919999999999998,1.1848370306826894,Immediate action: allocate fastest route and backup resources
D1114,F3,P88,2026-04-17,High,1.0,1,0.6412932842112529,4.42,-23.84,1.1839979105457723,Immediate action: allocate fastest route and backup resources
D533,F3,P70,2026-04-24,High,1.0,1,0.635099261175376,4.18,-23.36,1.183904548414827,Immediate action: allocate fastest route and backup resources
D817,F2,P49,2026-04-07,High,1.0,1,0.7212390354525863,7.580000000000002,-30.160000000000004,1.1836182932055095,Immediate action: allocate fastest route and backup resources
D216,F4,P55,2026-04-12,High,1.0,1,0.6288651088554442,3.9700000000000006,-22.94,1.18300847438671,Immediate action: allocate fastest route and backup resources
D146,F2,P45,2026-04-26,Medium,1.0,1,0.5098957627703233,0.8200000000000003,-13.64,1.1822394333346344,High risk: prioritize dispatch and monitor closely
D338,F2,P49,2026-04-12,High,1.0,1,0.6325120744581586,4.16,-23.32,1.1818257501063538,Immediate action: allocate fastest route and backup resources
D1113,F2,P154,2026-04-26,Medium,1.0,1,0.5093441465245646,0.8200000000000001,-13.64,1.1816878170888758,High risk: prioritize dispatch and monitor closely
D330,F3,P102,2026-04-06,High,1.0,1,0.6706782182656663,5.68,-26.36,1.1813543748492963,Immediate action: allocate fastest route and backup resources
D593,F2,P83,2026-04-27,High,1.0,1,0.7371902771091566,8.340000000000002,-31.680000000000003,1.180250775329797,Immediate action: allocate fastest route and backup resources
D77,F2,P163,2026-04-05,High,1.0,1,0.6116271375342341,3.42,-21.84,1.1797511843059678,Immediate action: allocate fastest route and backup resources
D545,F3,P103,2026-04-06,High,1.0,1,0.6711053906990762,5.760000000000001,-26.520000000000003,1.1797479936477289,Immediate action: allocate fastest route and backup resources
D1178,F5,P59,2026-04-26,Medium,1.0,1,0.508533483975549,0.8999999999999999,-13.8,1.1788436009048828,High risk: prioritize dispatch and monitor closely
D1121,F3,P47,2026-04-12,High,1.0,1,0.6247879232157523,3.9799999999999995,-22.96,1.178677094542646,Immediate action: allocate fastest route and backup resources
D210,F1,P97,2026-04-10,High,1.0,1,0.6285115488499587,4.16,-23.32,1.177825224498154,Immediate action: allocate fastest route and backup resources
D944,F5,P34,2026-04-28,High,1.0,1,0.6454585202953285,4.85,-24.7,1.1772327958418458,Immediate action: allocate fastest route and backup resources
D801,F5,P47,2026-04-05,High,1.0,1,0.6300580280439966,4.290000000000001,-23.580000000000002,1.1760671790353538,Immediate action: allocate fastest route and backup resources
D1085,F4,P131,2026-04-16,High,0.9975155763239876,1,0.6465065319397496,4.959999999999999,-24.919999999999998,1.1754846712381735,Immediate action: allocate fastest route and backup resources
D880,F4,P60,2026-04-21,Medium,1.0,1,0.5463623955782115,2.5300000000000002,-17.060000000000002,1.1752388571948866,High risk: prioritize dispatch and monitor closely
D833,F3,P128,2026-04-16,High,1.0,1,0.6606174006999186,5.530000000000001,-26.060000000000002,1.1751064703491305,Immediate action: allocate fastest route and backup resources
D75,F5,P184,2026-04-07,Medium,1.0,1,0.5881207274820871,4.1899999999999995,-20.38,1.1748009511729869,High risk: prioritize dispatch and monitor closely
D894,F2,P109,2026-04-02,High,1.0,1,0.7277556676173383,8.21,-31.42,1.1741206904948167,Immediate action: allocate fastest route and backup resources
D503,F4,P180,2026-04-19,High,0.9975155763239876,1,0.6296386065961178,4.39,-23.78,1.1731058155437537,Immediate action: allocate fastest route and backup resources
D839,F2,P4,2026-04-27,High,1.0,1,0.7421187600121005,8.830000000000002,-32.660000000000004,1.1727237422185062,Immediate action: allocate fastest route and backup resources
D291,F1,P128,2026-04-20,High,1.0,1,0.6258370580224791,4.27,-23.54,1.1723545974225806,Immediate action: allocate fastest route and backup resources
D540,F1,P135,2026-04-12,High,1.0,1,0.6479619007447552,5.16,-25.32,1.1718561559557363,Immediate action: allocate fastest route and backup resources
D376,F3,P97,2026-04-10,High,1.0,1,0.6331286682550665,4.59,-24.18,1.1715119931152596,Immediate action: allocate fastest route and backup resources
